Surname,Count,
jayaprakasha,66,
sharama,66,
mujaphphara,66,
rokasana,66,
sabara,66,
goita,66,
savina,66,
goyanaka,66,
kayamuddina,66,
taranuma,66,
saima,66,
khairula,66,
azahara,66,
kharabara,66,
vandana,66,
kuma,66,
navaza,66,
hasiva,66,
mujahira,66,
sona,66,
shreshtha,66,
rahata,66,
mojiva,66,
rahina,66,
shamasera,65,
hasamuddina,65,
mushataka,65,
ku0,65,
shalima,65,
sarika,65,
shamti,65,
dechi,65,
phaijana,65,
juganu,65,
shaharukha,65,
kuresa,65,
asmina,65,
ajimuddina,65,
dinakara,65,
bijali,65,
saidula,65,
reshami,65,
mamgala,65,
bemgama,64,
nibha,64,
sitarama,64,
mahajavi,64,
tabaraka,64,
dilasada,64,
ujale,64,
lohiya,64,
rupa,64,
haladara,64,
vibha,64,
tamdana,64,
bhavana,64,
bhadani,64,
jishana,64,
