Surname,Count
bashiruddina,79
baheliya,78
goyala,78
ulphata,78
atahara,78
rahisa,78
abasara,78
phaujadara,78
khirahari,78
bhak?ta,78
imajuddina,78
amanata,78
faqaruddina,78
aravimda,78
adalata,78
sarafaraza,78
dukhai,78
phakarudina,78
moinaudina,78
asadullaha,78
shrirama,77
kutubuddina,77
naimauddina,77
khelavana,77
motilala,77
amaruddina,77
rahila,77
khani,77
kare,77
lathaura,77
manauvara,77
baida,77
majarula,77
mazahara,77
mojammila,77
hasaina,77
podhara,77
pyare,76
vishakarma,76
am,76
pamari,76
ramanatha,76
babulala,76
surena,76
naimaudina,76
ikaramula,76
nashima,76
samashula,76
abarara,75
imateyaja,75
mahara',75
dukhi,75
sethiya,75
vishkarma,75
na,75
hisariya,75
shafika,75
lama,75
bali,75
sudhira,75
jakariya,75
subhasha,75
rajamara,75
bishvakarma,75
sahabula,74
khumara,74
salika,74
shamida,74
pharidi,74
salamudina,74
sharaphata,74
kyamudina,74
kameshvara,74
auramgajeba,74
tasira,74
keyuma,74
mamndala,74
samadani,74
goshvami,74
pita,74
nandakishora,74
musataka,74
matho,74
lohiya,74
vyasa,74
sikadara,73
chotana,73
nivasa,73
vinaya,73
besfora,73
gora,73
ataula,73
miyana,73
pauddhara,73
ijaharula,73
sitare,73
govinda,72
jamirudina,72
nasiraudina,72
sakiba,72
mohiba,72
uranva,72
sabji,72
kamalesha,72
ddhivedi,72
kavira,72
rajarama,72
jalalauddina,72
sha,72
khemaka,72
ramashamkara,72
goyanaka,72
varanavala,72
balirama,72
taufiqa,72
tulla,72
mansuri,72
amanulla,72
kaushika,72
masaleuddina,72
mujammila,72
ramapravesha,72
akalima,72
sabadula,72
miksha,72
sarana,71
mohita,71
jaharula,71
nahida,71
akhilesha,71
va,71
isteyaka,71
badashaha,71
mahabula,71
misra,71
saraphata,71
ejajula,71
nauniya,71
nijamauddina,71
jafara,71
khairavara,70
navaja,70
ajamula,70
tajauddina,70
gaphphura,70
chaurashiya,70
jamashaida,70
chobe,70
rikyasana,70
baske,70
imamula,70
moida,70
shahazada,70
dokaniya,70
kadara,70
mithilesha,70
nuri,70
mohammda,70
kitabuddina,69
agaravala,69
mittala,69
dhuniya,69
tirki,69
phaisala,69
ainuddina,69
shivashamkara,69
taiyyaba,69
ga.ndhi,69
miraja,69
rena,69
gaderi,69
mikaila,69
sharaphudina,69
pamsari,69
vak?sa,69
hashmi,69
mohammadina,69
dhaga.da,69
ulla,69
000000,68
amirullaha,68
asharaphi,68
ravadasa,68
simh,68
bachchu,68
vikrama,68
maji,68
k?yuma,68
nijamaudina,68
inasula,68
ratana,68
tamto,68
upadhaya,68
jamedara,68
kirana,68
khamna,68
aminudina,68
basera,68
